Competency Area,Topics,Must Have,Desirable,Advanced/ Best
,"Auditing & compliance considerations (GDPR, HIPAA basics for DWH)",Understands compliance and data privacy fundamentals.,Applies anonymization and audit logging to meet compliance.,Designs compliance-driven data architectures with automated policy enforcement.
,Cost management in large-scale data pipelines,Tracks compute and storage costs manually.,Uses monitoring to optimize resource utilization.,Designs cost-aware architectures leveraging auto-scaling and query optimization.
,E. Cloud Data Warehouses,,,
,"Snowflake (Virtual warehouses, scaling, separation of compute/storage, Time travel & zero-copy cloning, Query optimization and caching, Cost considerations)",Runs basic queries and understands virtual warehouse concepts.,Tunes performance using caching and warehouse scaling.,Designs cost-efficient Snowflake architectures leveraging zero-copy cloning and time travel.
,"Amazon Redshift (Distribution keys, sort keys, Spectrum, Concurrency scaling)",Runs basic Redshift queries and loads data into clusters.,Uses sort/distribution keys and Spectrum for external data.,Designs scalable Redshift workloads with concurrency scaling and WLM optimization.
,Cloud-native elasticity vs static provisioning,Understands the difference between fixed and elastic resources.,Configures auto-scaling and on-demand compute in the cloud.,"Designs multi-cluster, auto-scaling architectures for peak workloads efficiently."
,Cross-cloud data sharing & federation concepts,Understands data sharing and cross-cloud basics.,Implements basic data sharing between cloud platforms.,"Designs federated architectures enabling secure, cross-cloud analytics and governance."
,F. Buildable Project Requirements (Capstone),,,
,Design and implement a complete ETL → DWH pipeline,Builds a simple ETL pipeline loading data into a warehouse.,"Automates ingestion, transformation, and schema design workflows.","Designs enterprise-grade ETL/DWH systems with orchestration, CI/CD, and monitoring."
,"Ingest from multiple sources (files, APIs, database extracts)",Extracts data manually from diverse sources.,Builds automated ingestion pipelines from multiple origins.,"Designs scalable, fault-tolerant ingestion frameworks with incremental updates."
,Load into staging layer → apply transformations → load curated data,Implements basic staging and transformation sequence.,Automates multi-layer ETL with logging and checkpoints.,"Designs modular, metadata-driven multi-stage pipelines with recovery logic."
,Build star schema with fact & dimension tables,Creates fact and dimension tables manually.,Builds star schemas programmatically within pipelines.,Designs dynamic schema generation with surrogate keys and conformed dimensions.
,Implement SCD for selected dimensions,Handles SCD Type 1 updates.,Implements SCD Type 2 logic in transformation layers.,Automates multi-type SCD handling using frameworks or CDC.
,Add partitioning & materialized views for optimization,Adds partitions manually for performance.,Automates partition creation and manages refreshable materialized views.,Designs self-tuning partition and materialized view strategies for query optimization.
,Deploy pipeline with orchestration (Airflow/Prefect/dbt),Orchestrates ETL steps manually or with simple schedulers.,Builds DAGs in Airflow or Prefect for dependency management.,"Designs production-grade orchestration with task retries, lineage, and dynamic DAG generation."
,"Demonstrate lineage tracking, logging, monitoring, and RBAC",Logs and documents job runs manually.,Integrates logging and RBAC into orchestration tools.,"Builds fully auditable, monitored pipelines integrated with centralized lineage tools."
,Deploy on Snowflake or Redshift (simulate cost/performance trade-offs),Runs basic ETL and queries on cloud data warehouse.,Compares performance and cost trade-offs between configurations.,"Designs optimized, scalable cloud DWH deployments balancing cost, concurrency, and performance."
