Competency Area,Topics,Must Have,Desirable,Advanced/ Best
,"API & HTTP requests: requests, aiohttp",Makes REST API calls using requests to extract or send data.,"Handles pagination, authentication, and response parsing.",Builds async data ingestion systems with aiohttp or other async frameworks.
,"Data scraping with BeautifulSoup, Selenium",Extracts structured data from simple static web pages.,Handles dynamic content scraping and applies rate limiting.,Builds scalable scraping pipelines with headless browsers and concurrent workers.
,"Database connectors: psycopg2, SQLAlchemy, pymongo",Connects to databases and runs queries using standard libraries.,"Uses connection pooling and ORM features for clean, maintainable code.",Designs abstraction layers for multi-database workflows and manages distributed transactions.
,Writing SQL inside Python workflows,Embeds simple SQL queries within Python scripts or notebooks.,Integrates SQL dynamically using Jinja or parameterized queries for safety.,Automates SQL generation and orchestration for data pipelines and analytics jobs.
,"Building ETL automation pipelines (extraction, transformation, loading)",Writes scripts to move data between sources and destinations.,Uses scheduling/orchestration tools like Airflow or Prefect for automation.,"Designs resilient, modular ETL frameworks supporting parallelism and monitoring."
,Exploratory analysis & reporting in Jupyter Notebook,Uses notebooks for basic data exploration and visualization.,Structures notebooks with clear narratives and reproducible analysis.,Converts notebooks into production-ready reports and parameterized data apps.
,C. Frameworks & Distributed Processing,,,
,Workflow scripting for ETL orchestration,Can automate simple ETL tasks using Python scripts and cron jobs.,"Uses workflow managers (Airflow, Prefect, Luigi) to schedule and monitor ETL jobs.","Designs modular, event-driven orchestration systems with retries, alerts, and metadata tracking."
,"Distributed data processing: PySpark, Dask (intro)",Understands the basics of distributed computing and can run simple PySpark or Dask jobs.,Uses distributed frameworks to process large datasets efficiently on clusters.,"Designs scalable distributed data pipelines optimized for partitioning, caching, and parallelism."
,"Building APIs for data services (FastAPI basics, Flask/Django as alternatives)",Can build simple REST endpoints to expose data from local sources.,Implements parameterized APIs with validation and structured JSON responses.,"Designs scalable, secure API-based data services integrated with authentication and CI/CD."
,Async programming (async/await in Python),Understands async/await syntax and its use for non-blocking operations.,Implements asynchronous I/O for concurrent data fetches and processing.,Designs fully async data ingestion and service layers with event loops and concurrency control.
,Automation scripts for data validation & cleansing,Writes scripts to validate and clean raw datasets before loading.,"Automates repeated validation using configurable, reusable functions.",Builds robust data quality frameworks integrated with pipelines and alerting systems.
,D. Software Engineering Practices,,,
,"Version control with Git (branching, merging, PRs, shared codebase workflows)","Uses Git for basic commits, pushes, and pulls in personal projects.","Collaborates through branches, pull requests, and conflict resolution.","Implements Git-based workflows (GitFlow, trunk-based) for large multi-developer projects."
,"Unit testing frameworks: pytest, unittest",Writes unit tests for core data functions to ensure correctness.,"Uses fixtures, mocks, and parameterized tests to cover multiple scenarios.",Integrates automated test suites in CI/CD with coverage reporting and regression detection.
,"Code formatting & linting: black, flake8, isort",Formats code manually and understands basic style conventions (PEP8).,Uses automated linters and formatters to enforce consistent code quality.,Enforces project-wide linting and style checks as part of CI/CD workflows.
,"Packaging & dependency management: pip, venv, pipenv, poetry",Uses pip and virtual environments to manage dependencies.,Creates reproducible environments with pipenv or poetry.,Publishes internal packages and manages dependency resolution across teams and projects.
,CI/CD integration for Python pipelines,Understands basic concepts of continuous integration.,Configures CI/CD pipelines for testing and deploying Python code.,"Automates full deployment workflows with testing, linting, and container publishing."
,Monitoring & logging integration in ETL jobs,Adds basic logging to track ETL script progress.,Implements structured logging and metrics collection for job health monitoring.,"Integrates observability (Prometheus, Grafana, ELK) for performance and anomaly detection."
,E. Buildable Project Requirements (Capstone),,,
,Design & implement an end-to-end ETL pipeline,"Builds simple scripts to extract, transform, and load data between files and databases.","Develops modular ETL pipelines with validation, error handling, and testing.","Designs production-grade ETL systems with distributed execution, CI/CD, and observability."
,Data ingestion from API & files,Fetches and reads data from APIs and local files.,"Automates data ingestion with pagination, authentication, and incremental loads.",Builds scalable ingestion frameworks supporting multiple sources and formats.
,Transformation with pandas/SQL,Performs data cleaning and aggregation with pandas or SQL queries.,Combines transformations across Python and SQL efficiently for ETL workflows.,"Optimizes transformations using distributed engines (Dask, Spark) for large-scale data."
,Load into a relational/NoSQL database,Loads data into relational or NoSQL stores via connectors.,Uses bulk inserts and schema validation for reliable data loading.,Implements automated schema evolution and batch/stream hybrid loading mechanisms.
,Serve processed data via a FastAPI endpoint,Exposes processed data via a simple API endpoint.,"Adds input validation, error handling, and documentation (OpenAPI).","Deploys scalable, production-grade data services with authentication and monitoring."
,"Add validation (Pydantic), testing (pytest), and CI/CD workflow",Implements basic data validation and unit testing.,Integrates validation and testing steps into CI/CD pipelines.,"Enforces quality gates with automated validation, testing, and deployment workflows."
,Optimize performance with parallelism/distributed processing (Dask/PySpark),Uses multiprocessing for simple parallel tasks.,Applies Dask or PySpark for moderately large data transformations.,Designs distributed pipelines optimized for shuffle minimization and cluster efficiency.
,"Deploy pipeline with containerization (Docker intro, optional)",Understands Docker basics and can containerize simple Python apps.,Builds and runs containerized ETL pipelines locally or in cloud environments.,"Automates container builds and orchestration (Docker Compose, Kubernetes) for production deployments."
